UID        PID  PPID  C STIME TTY          TIME CMD
can       1141  1135  0 20:53 ?        00:00:00 /nix/store/wyvyad3wyswr8n5bpvc99w0vv6658nj6-geoclue-2.5.6/libexec/geoclue-2.0/demos/agent
can       1165  1135  0 20:53 ?        00:00:00 /nix/store/7lvlrg8ij6y0lplm7w91wyhy2glxyqqi-dbus-1.12.20/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit     1191     1  0 20:53 ?        00:00:00 /nix/store/68dg6gbzwj4ljsr6bfjac09yhdhkjsd8-rtkit-0.13/libexec/rtkit-daemon
root      1202     2  0 20:53 ?        00:00:00 [krfcommd]
root      1363     1  0 20:53 ?        00:00:00 dhcpcd --quiet --config /nix/store/x6w0qm6qhm2hgxs5j0av7yckjpsphb2n-dhcpcd.conf
root      1585  1037  1 20:55 tty7     00:00:57 /nix/store/9hzf53n2sd5y4d5ffbkwa8h4axg47b11-xorg-server-1.20.10/bin/X -config /nix/store/6izwjnrq56h8x6q3y5mlkxsg9gkyfzm8-xserver.conf -xkbdir /nix/store/5ddn6fmb82vbkipjpkqccak6l7n34mlm-xkeyboard-config-2.27/etc/X11/xkb -logfile /dev/null -verbose 3 -nolisten tcp -terminate -logfile /var/log/X.0.log :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1652  1037  0 20:55 ?        00:00:00 lightdm --session-child 12 19
can       1662  1652  0 20:55 ?        00:00:00 /nix/store/a3fc4zqaiak11jks9zd579mz5v0li8bg-bash-4.4-p23/bin/bash /nix/store/mhr2jwnmhbph33mkssm9kalzpayaqwhk-xsession
can       1670  1135  0 20:55 ?        00:00:03 /nix/store/h1fhc1lw5cyi363gv0i18pzh12p2f9gh-network-manager-applet-1.18.0/bin/nm-applet
can       1671  1662  0 20:55 ?        00:00:00 /nix/store/qn2m63j402hfj92c42ilak4nj779imw5-i3-gaps-4.18.3/bin/i3
can       1679     1  0 20:55 ?        00:00:00 /run/current-system/sw/bin/light-locker
can       1681     1  0 20:55 ?        00:00:00 xss-lock --transfer-sleep-lock -- light-locker-command -l
can       1692     1  0 20:55 ?        00:00:14 /run/current-system/sw/bin/polybar main -c /home/can/.config/polybar/config.ini
can       1696  1135  0 20:55 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfsd
can       1702  1135  0 20:55 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfsd-fuse /run/user/1000/gvfs -f
can       1719  1135  0 20:55 ?        00:00:00 /nix/store/q942bg0n1p2ds0ijwp1cm7j2h4sdif23-pulseaudio-13.0/bin/pulseaudio --daemonize=no
can       1724  1719  0 20:55 ?        00:00:00 /nix/store/q942bg0n1p2ds0ijwp1cm7j2h4sdif23-pulseaudio-13.0/libexec/pulse/gsettings-helper
can       2959  1135  0 20:58 ?        00:00:00 /nix/store/7wjmmcv527nknnd4ccjqcn71gn2jrr1z-xfconf-4.14.3/lib/xfce4/xfconf/xfconfd
can       2965  1135  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfs-udisks2-volume-monitor
root      2968     1  0 20:58 ?        00:00:00 /nix/store/3i1dz2b9bdfg9szl2mw5gkbzzab82g9x-udisks-2.8.4/libexec/udisks2/udisksd
can       2988  1135  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfs-goa-volume-monitor
can       2992  1135  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfs-afc-volume-monitor
can       2997  1135  0 20:58 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfs-mtp-volume-monitor
